SN,Ni56 mass,Average/single values,Reference for Ni56 mass,Host galaxy,Distance (Mpc),Reference for distance
,0.0220,,Sharon+20,,,NED
SN2009md,0.0044,0.0045,Valenti+16,NGC 3389,22.000,NED
,0.0040,,Spiro+14,,,NED
,0.0050,,Sharon+20,,,NED
SN2012A,0.0087,0.0099,Valenti+16,NGC 3239,9.700,NED
,0.0097,,Pejcha&Prieto15,,,NED
,0.0110,,Valenti+15,,,NED
,0.0100,,Sharon+20,,,NED
SN2012aw,0.0497,0.0594,Valenti+16,NGC 3351,9.900,NED
,0.0697,,Pejcha&Prieto15,,,NED
,0.0560,,Valenti+15,,,NED
,0.0580,,Bose+13,,,NED
,0.0600,,Hiller+19,,,NED
,0.0660,,Martinez+19,,,NED
,0.0560,,Szala+19,,,NED
,0.0600,,Martinez+20,,,NED
SN2012ec,0.0288,0.0362,Muller+17,NGC 1084,19.100,NED
,0.0394,,Valenti+16,,,NED
,0.0330,,Jerkstrand+15,,,NED
,0.0400,,Barbarino+15,,,NED
,0.0420,,Martinez+19,,,NED
,0.0340,,Martinez+20,,,NED
SN2013K,0.0120,0.0120,Tomasella+18,ESO-9-G10,34.300,NED
SN2013ab,0.0631,0.0623,Muller+17,NGC 5669,19.400,NED
,0.0588,,Valenti+16,,,NED
,0.0650,,Ricks+19,,,NED
SN2013am,0.0150,0.0150,Tomasella+18,NGC 3623,12.200,NED
SN2013bu,0.0021,0.0021,Valenti+16,NGC 7331,13.400,NED
SN2013by,0.0320,0.0323,Valenti+16,ESO-138-G10,14.700,NED
,0.0290,,Valenti+15,,,NED
,0.0360,,Zhang+20,,,NED
SN2013ej,0.0087,0.0189,Muller+17,NGC 628,7.500,NED
,0.0208,,Valenti+16,,,NED
,0.0230,,Yuan+16,,,NED
,0.0130,,Dhungana+16,,,NED
,0.0200,,Huang+15,,,NED
,0.0200,,Bose+15,,,NED
,0.0180,,Valenti+15,,,NED
,0.0200,,Szala+19,,,NED
,0.0240,,Zhang+20,,,NED
,0.0220,,Sharon+20,,,NED
SN2013fs,0.0851,0.0851,Muller+17,NGC 7610,38.700,NED
,0.0851,,Valenti+16,,,NED
LSQ13dpa,0.0714,0.0714,Valenti+16,LCSB-S1492O,111.800,NED
SN2014cx,0.1000,0.1000,Ricks+19,NGC 337,19.400,NED
SN2014cy,0.0037,0.0037,Valenti+16,NGC 7742,25.800,NED
SN2014dw,0.0094,0.0094,Valenti+16,NGC 3568,25.100,NED
SN2014G,0.0347,0.0367,Muller+17,NGC 3448,23.800,NED
,0.0341,,Valenti+16,,,NED
,0.0190,,Valenti+15,,,NED
,0.0590,,Terreran+16,,,NED
ASASSN-14dq,0.0461,0.0500,Valenti+16,UGC 11860,61.900,NED
,0.0750,,Ricks+19,,,NED
,0.0290,,Singh+18,,,NED
ASASSN-14gm,0.0759,0.0763,Muller+17,NGC 337,19.400,NED
,0.0767,,Valenti+16,,,NED
ASASSN-14ha,0.0081,0.0048,Muller+17,NGC 1556,10.000,NED
,0.0014,,Valenti+16,,,NED
ASASSN-14jb,0.0210,0.0210,Meza+19,ESO 467-51,18.800,NED
SN2015an,0.0210,0.0210,Dastidar+19,IC 2367,28.100,NED
SN2015ba,0.0320,0.0410,Dastidar+18,UGC 3777,41.300,NED
,0.0500,,Ricks+19,,,NED
SN2015bs,0.0490,0.0490,Anderson+18,Anon,122.230,Anderson+18
ASASSN-15nx,1.6000,1.6000,Bose+18,GALEXASC J044353.08-094205.8,127.500,Bose+18
ASASSN-15oz,0.0950,0.0950,Bostroem+19,HIPASS J1919-33,34.200,NED
SN2015W,0.0314,0.0314,Valenti+16,UGC 3617,60.300,NED
SN2016aqf,0.0080,0.0080,Müller-Bravo+20,NGC 2101,13.300,NED
SN2016B,0.0820,0.0820,Dastidar+19,CGCG 012-116,26.800,NED
SN2016X,0.0340,0.0350,Huang+18,UGC 8041,15.300,NED
,0.0360,,Ricks+19,,,NED
SN2016bkv,0.0216,0.0216,Hosseinzadeh+18,NGC 3184,12.300,NED
DES16C3cje,0.0775,0.0775,Gutierrez+20,PGC3243310,275.950,Gutierrez+20
SN2016gfy,0.0330,0.0330,Singh+19,NGC 2276,20.400,NED
SN2016ija,0.2080,0.2080,Tartaglia+18,NGC 1532,17.900,NED
SN2017eaw,0.0500,0.0709,Tsvetkov+18,NGC 6946,5.500,NED
,0.1150,,Buta+19,,,NED
,0.0455,,Szala+19,,,NED
,0.0700,,VanDyk+19,,,NED
,0.0790,,Martinez+20,,,NED
,0.0660,,Sharon+20,,,NED
SN2017gmr,0.1300,0.1300,Andrews+19,NGC 988,15.300,NED
SN2017it,0.1000,0.1000,Afsariardchi+19,Anon,197.400,Afsariardchi+19
SN2017ivv,0.0590,0.0590,Gutierrez+20,GALEXASC J202849.46- 042255.5,24.090,Gutierrez+20
SN2018czd,0.0350,0.0350,Zhang+20,NGC 2146,19.550,NED
SN2018hna,0.0870,0.0870,Singh+19,UGC 7534,12.800,NED
SN2018ivc,0.0056,0.0056,Bostroem+20,M77,10.600,NED
PSN J17292918+7542390 ,0.0016,0.0016,Jager+20,NGC 6412,15.300,NED
